day,equity,daily_return
0,99955.45264583002,-0.0004454735416997573
1,100068.17264583001,0.0011277023615648557
2,100217.67264583001,0.0014939815132741898
3,100257.07264583002,0.00039314423254702856
4,100371.93264583002,0.0011456548348040955
5,100325.97264583003,-0.0004578969318262029
6,100647.01264583002,0.0031999689764617696
7,100891.99264583,0.002434051379766723
8,100773.83264583001,-0.001171153397819803
9,101060.43264583002,0.0028439922594513988
10,100962.89264583,-0.0009651650744644563
11,101035.53264583001,0.0007194722545720779
12,101409.51264583001,0.003701470069059224
13,101357.31264583001,-0.000514744609633459
14,101356.99064583001,-3.176879808615999e-06
15,101364.75264583003,7.658080563110904e-05
16,101771.33264583003,0.004011058966627171
17,101515.93264583,-0.0025095475647235075
18,100969.10264583003,-0.005386642133385842
19,100840.31264583002,-0.001275538720511023
20,100945.88264583005,0.001046902743853924
21,100154.16264583003,-0.007843014288931045
22,98876.07264583003,-0.01276122695488594
23,99229.45264583002,0.0035739688131200616
24,99022.63264583002,-0.0020842602119170144
25,98026.00639607004,-0.010064630914475604
26,98304.62639607005,0.0028423069575459676
27,98523.18639607004,0.002223293124775409
28,98558.90639607003,0.00036255425049291744
29,98798.96639607004,0.0024357007273933177
30,99026.06639607002,0.002298607043008749
31,99106.32639607003,0.0008104936702120135
32,98937.02639607002,-0.0017082663252334653
33,98839.26639607003,-0.0009881032770141754
34,98834.36639607002,-4.957543877727083e-05
35,99154.06639607003,0.0032347048062090827
36,99395.32639607004,0.002433183113603213
37,99162.04639607004,-0.002346991638927024
38,98893.46639607006,-0.0027084959393359805
39,98602.50639607005,-0.0029421559442026905
40,98750.58639607007,0.0015017873826168612
41,98949.70639607006,0.002016393089569742
42,98959.92639607006,0.00010328479358082331
43,99011.84639607008,0.0005246568170655
44,99118.76639607006,0.0010798707820506024
45,99437.72639607007,0.0032179577248315403
46,99386.14639607005,-0.0005187166065578938
47,99332.42639607003,-0.0005405179891564841
48,99231.12639607006,-0.0010198079688104368
49,99206.68639607006,-0.00024629368714865516
50,99142.12639607005,-0.000650762588140986
51,98849.32639607006,-0.002953335889027239
52,98880.90639607006,0.0003194761274695214
53,98813.44639607005,-0.0006822348465313782
54,98287.04639607006,-0.005327210204672408
